what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to load properties file for project 'DomainTest'",1292256992504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257244804
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257244931
error,log,,,"Exception occurred while creating compilation participant",1292257244933
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257245688
error,log,,,"Exception occurred while creating compilation participant",1292257245694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257255534
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257264218
error,log,,,"Exception occurred while creating compilation participant",1292257264221
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257264291
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257264408
error,log,,,"Exception occurred while creating compilation participant",1292257264409
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292257264463
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292257264529
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257264965
error,log,,,"Exception occurred while creating compilation participant",1292257264968
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257265206
error,log,,,"Exception occurred while creating compilation participant",1292257265210
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257270527
error,log,,,"Exception occurred while creating compilation participant",1292257270533
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257271228
error,log,,,"Exception occurred while creating compilation participant",1292257271233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257273077
error,log,,,"Exception occurred while creating compilation participant",1292257273084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257273747
error,log,,,"Exception occurred while creating compilation participant",1292257273753
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1292257273853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257274436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257277704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257282482
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257284765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1292257284777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257291037
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257291206
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1292257291289
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1292257291303
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257291671
error,log,,,"Exception occurred while creating compilation participant",1292257291674
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257292108
error,log,,,"Exception occurred while creating compilation participant",1292257292114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257297221
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257298371
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1292257298389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257312790
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292257644916
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1292257646471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1292257646758
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257647711
error,log,,,"Exception occurred while creating compilation participant",1292257647716
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257652336
error,log,,,"Exception occurred while creating compilation participant",1292257652342
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257655373
error,log,,,"Exception occurred while creating compilation participant",1292257655379
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257658401
error,log,,,"Exception occurred while creating compilation participant",1292257658406
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257663944
error,log,,,"Exception occurred while creating compilation participant",1292257663949
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1292257668488
