what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261203788
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261208166
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261208520
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261218822
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261220119
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261227653
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1292261227972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261231438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261233222
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261240140
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1292261246957
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261247694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261247922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261247984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261260885
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1292261261132
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1292261261166
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261264320
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1292261264529
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261266139
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1292261273564
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1292261273641
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1292261274722
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1292261274977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261279823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261302315
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261305596
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292261307394
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292261307426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261326994
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261330274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261331866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261333084
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292261337599
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1292261345690
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292261349574
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1292261349744
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292261349744
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1292261352523
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1292261352523
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1292261358774
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1292261359643
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1292261359643
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261361306
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1292261361306
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261364395
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261365323
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292261365323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261369273
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292261978652
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1292262148793
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1292262148794
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1292262148794
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1292262148799
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1292262148800
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1292262148800
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1292262148801
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1292262148802
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1292262148802
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1292262148803
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1292262148803
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1292262148805
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1292262148806
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1292262148806
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1292262148807
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1292262148807
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1292262148808
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1292262148815
